,Name,Month,Last,High,Low,Chg.,Chg. %,Time
,Gold derived,Aug 24,"2,325.40","2,342.25","2,319.30",-29.40,-1.25%,11:24:31
,XAU/USD,,"2,309.10","2,326.76","2,304.19",-15.88,-0.68%,11:25:12
,Silver derived,Jul 24,29.050,29.825,28.925,-1.217,-4.02%,11:25:17
,XAG/USD,,28.9805,29.7285,28.8475,-0.7480,-2.52%,11:25:36
,Copper derived,Jul 24,4.5040,4.5600,4.4908,-0.0630,-1.38%,11:24:47
,Platinum derived,Jul 24,951.85,965.50,945.65,-19.15,-1.97%,11:25:41
,Palladium derived,Sep 24,886.03,915.28,881.50,-25.27,-2.77%,11:25:25
,Crude Oil WTI derived,Jul 24,78.48,78.86,77.67,-0.02,-0.03%,11:25:20
,Brent Oil derived,Aug 24,82.64,83.03,81.81,+0.04,+0.05%,11:25:20
,Natural Gas derived,Jul 24,2.939,3.090,2.899,-0.106,-3.48%,11:25:12
,Heating Oil derived,Jul 24,2.4811,2.4822,2.4255,+0.0403,+1.65%,11:25:29
,Gasoline RBOB derived,Jul 24,2.4034,2.4229,2.3673,+0.0090,+0.38%,11:24:49
,London Gas Oil derived,Jul 24,762.88,763.63,746.63,+12.25,+1.63%,11:24:44
,Aluminium derived,,"2,561.00","2,590.50","2,528.50",-14.50,-0.56%,11:24:28
,Zinc derived,,"2,862.00","2,895.00","2,832.00",-32.00,-1.11%,11:25:17
,Nickel derived,,"17,736.00","17,916.50","17,643.00",-325.00,-1.80%,11:25:24
,Copper derived,,"9,823.50","9,924.00","9,786.50",-121.00,-1.22%,11:25:35
,US Wheat derived,Jul 24,626.60,627.10,612.80,+9.60,+1.56%,11:24:46
,Rough Rice derived,Jul 24,18.513,18.513,18.183,+0.288,+1.58%,11:25:23
,US Corn derived,Jul 24,458.90,460.40,453.50,+4.90,+1.08%,11:25:23
,US Soybeans derived,Jul 24,"1,189.38","1,190.12","1,171.00",+13.38,+1.14%,11:25:08
,US Soybean Oil derived,Jul 24,43.84,43.97,43.33,+0.05,+0.11%,11:25:38
,US Soybean Meal derived,Jul 24,367.95,368.25,359.15,+7.75,+2.15%,11:25:28
,US Cotton #2 derived,Jul 24,71.89,72.17,71.44,+0.15,+0.21%,11:25:00
,US Cocoa derived,Sep 24,"10,203.00","10,264.50","9,863.50",+350.00,+3.55%,11:25:28
,US Coffee C derived,Jul 24,226.57,229.30,224.25,+2.22,+0.99%,11:24:49
,London Coffee derived,Sep 24,"4,108.00","4,177.00","4,084.00",+25.00,+0.61%,11:25:37
,US Sugar #11 derived,Jul 24,19.44,19.45,19.06,+0.34,+1.78%,11:25:28
,Orange Juice derived,Jul 24,408.13,435.70,406.08,-17.82,-4.18%,11:25:42
,Live Cattle,Jun 24,183.40,183.98,182.50,-0.25,-0.14%,11:12:37
,Lean Hogs,Jun 24,91.75,91.88,91.70,-0.28,-0.30%,11:12:09
,Feeder Cattle derived,Aug 24,256.10,259.73,254.35,-1.48,-0.57%,11:25:37
,Lumber,Jul 24,497.00,501.00,493.00,-1.00,-0.20%,11:01:52
,Oats derived,,333.00,335.40,328.25,-1.70,-0.51%,11:25:14
