Name Currency,Price,+/-,%,market cap,circulating supply,Volume,Last Updated
Bitcoin,"66,941.8919",193.45,0.29%,"1,319.56 B","19,711,993",27.16 B,05:41:00 AM
Ethereum,"3,516.6421",49.75,1.43%,422.53 B,"120,151,114",14.27 B,05:40:00 AM
Tether,0.9992,0.00,-0.06%,112.46 B,"112,544,030,567",53.65 B,05:40:00 AM
Binance Coin,607.5261,8.12,1.35%,89.66 B,"147,584,226",1.75 B,05:40:00 AM
Solana,147.9456,0.66,0.45%,68.30 B,"461,660,550",2.05 B,05:40:00 AM
Lido stETH,"3,516.0286",50.78,1.47%,33.54 B,"9,538,768",97.32 M,05:40:00 AM
USD Coin,1.0000,0.00,-0.02%,32.56 B,"32,560,234,695",5.94 B,05:40:00 AM
Ripple,0.4777,0.00,0.16%,26.55 B,"55,570,463,728",1.04 B,05:41:00 AM
Dogecoin,0.1427,0.00,1.16%,20.65 B,"144,704,016,384",701.71 M,05:41:00 AM
Toncoin,7.9283,0.17,2.22%,19.29 B,"2,432,847,640",524.05 M,05:40:00 AM
Cardano,0.4225,0.00,0.28%,15.09 B,"35,725,404,407",333.62 M,05:40:00 AM
Lido wstETH,"4,112.0749",55.43,1.37%,13.45 B,"3,269,990",35.43 M,05:41:00 AM
SHIBA INU,0.0000,0.00,2.61%,12.81 B,"589,271,418,973,684",341.13 M,05:40:00 AM
Avalanche,31.9575,0.96,3.11%,12.57 B,"393,290,418",294.17 M,05:40:00 AM
WETH,"3,517.8255",45.12,1.30%,11.87 B,"3,375,318",862.89 M,05:41:00 AM
Wrapped Bitcoin,"67,035.2963",215.84,0.32%,10.27 B,"153,236",168.09 M,05:40:00 AM
Wrapped TRON,0.1162,0.00,-0.40%,10.16 B,"87,422,775,793","840,534.83",05:41:00 AM
Tron,0.1158,0.00,-0.92%,10.11 B,"87,292,551,161",264.71 M,05:40:00 AM
Polkadot,6.4187,0.05,0.78%,9.23 B,"1,437,953,431",174.13 M,05:41:00 AM
Chainlink,15.3209,0.19,1.25%,8.99 B,"587,099,970",305.22 M,05:40:00 AM
Bitcoin Cash,437.8589,6.20,1.44%,8.63 B,"19,719,216",293.25 M,05:40:00 AM
NEAR Protocol,5.9415,0.03,0.48%,6.47 B,"1,088,164,467",274.51 M,05:41:00 AM
Uniswap,10.7123,0.57,5.61%,6.43 B,"599,957,295",270.65 M,05:40:00 AM
ether.fi Staked ETH,"3,520.8823",55.31,1.60%,6.17 B,"1,751,995","39,161.96",05:40:00 AM
Polygon,0.6094,0.00,0.80%,6.03 B,"9,897,486,142",292.75 M,05:40:00 AM
Litecoin,79.2821,0.14,0.18%,5.92 B,"74,640,787",354.41 M,05:41:00 AM
Wrapped eETH,"3,657.6435",50.17,1.39%,5.41 B,"1,478,609",22.72 M,05:41:00 AM
Dai,0.9998,0.00,-0.02%,5.35 B,"5,347,888,596",332.05 M,05:40:00 AM
UNUS SED LEO,5.5762,-0.01,-0.25%,5.16 B,"926,214,883",1.88 M,05:40:00 AM
Pepe,0.0000,0.00,2.04%,5.10 B,"420,689,899,999,995",808.07 M,05:40:00 AM
Internet Computer,9.7723,-0.03,-0.33%,4.55 B,"465,234,846",97.89 M,05:40:00 AM
Kaspa,0.1677,0.00,0.58%,4.01 B,"23,919,967,708",64.62 M,05:40:00 AM
Bitcoin BEP2,"67,028.9128",287.72,0.43%,3.83 B,"57,195",21.47 M,05:40:00 AM
Ethereum Classic,25.4525,0.16,0.65%,3.75 B,"147,514,491",142.51 M,05:40:00 AM
Renzo Restaked ETH,"3,494.0977",42.65,1.24%,3.69 B,"1,055,912",27.11 M,05:40:00 AM
Aptos,8.0263,0.15,1.87%,3.61 B,"450,254,107",128.22 M,05:40:00 AM
Ethena USDe,1.0005,0.00,-0.05%,3.51 B,"3,508,171,193",130.09 M,05:40:00 AM
Wrapped Beacon ETH,"3,660.6384",52.69,1.46%,3.28 B,"897,162",16.76 M,05:41:00 AM
Render Token,8.3079,0.01,0.11%,3.23 B,"388,646,672",180.37 M,05:40:00 AM
Hedera,0.0894,0.00,1.15%,3.19 B,"35,751,668,714",57.08 M,05:40:00 AM
Monero,172.6969,0.55,0.32%,3.19 B,"18,446,744",80.72 M,05:41:00 AM
Filecoin,5.4310,0.05,0.96%,3.06 B,"563,296,169",134.39 M,05:41:00 AM
