,Name,Symbol,Last,Chg. %,Vol.,Time,
,VelocityShares 3x Long Crude S&P GSCI ER,UWT,12.250,0.00%,0,15/06,
,VelocityShares Daily 2x VIX Short Term ETN linked,TVIX,112.36,0.00%,0,02/07,
,United States Oil,USO,76.10,+0.16%,540.68K,11:26:47,
,iShares MSCI Japan,EWJ,67.07,-1.93%,1.65M,11:26:04,
,VelocityShares 3x Long Natural Gas linked to S&P G,UGAZF,0.07,0.00%,0,31/10,
,Invesco QQQ Trust,QQQ,476.23,+0.44%,10.93M,11:26:39,
,SPDR S&P 500,SPY,540.95,-0.08%,13.08M,11:26:24,
,Direxion Daily Gold Miners Index Bull 2X Shares,NUGT,36.52,-4.15%,852.29K,11:26:29,
,VanEck Vectors Russia,RSX,5.65,0.00%,0,11/01,
,iShares MSCI Emerging Markets,EEM,42.15,-0.31%,6.16M,11:26:13,
,Utilities Select Sector SPDR,XLU,69.54,-0.59%,3.88M,11:26:23,
,VanEck Vectors Gold Miners,GDX,33.30,-2.07%,5.63M,11:26:25,
,SPDR S&P Oil & Gas Exploration & Production,XOP,144.65,-1.91%,974.23K,11:26:42,
,VelocityShares 3x Inverse Natural Gas linked to S&,DGAZF,25.21,0.00%,0,15/06,
,Technology Select Sector SPDR,XLK,226.62,+0.70%,2.31M,11:26:30,
,Direxion Daily Gold Miners Bear 3X Shares,DUST,8.04,+4.28%,3.55M,11:26:21,
,iShares MSCI Eurozone,EZU,49.55,-2.15%,838.68K,11:26:33,
,Financial Select Sector SPDR,XLF,40.60,-0.53%,13.86M,11:26:41,
,WisdomTree Europe Hedged Equity,HEDJ,46.80,-1.66%,20.56K,11:26:04,
,Direxion Daily Junior Gold Miners Bear 2X Shares,JDST,3.990,+3.10%,4.05M,11:26:23,
,iShares Russell 2000,IWM,201.11,-1.28%,11.22M,11:26:42,
,Vanguard FTSE Developed Markets,VEA,49.90,-1.51%,1.81M,11:26:21,
,iShares MSCI Brazil Capped,EWZ,27.28,+0.15%,9.63M,11:26:24,
,iShares China Large-Cap,FXI,26.39,-0.09%,7.92M,11:26:34,
,WisdomTree Japan Hedged Equity,DXJ,108.03,-2.26%,348.37K,11:24:40,
,Xtrackers MSCI EAFE Hedged Equity,DBEF,41.38,-1.38%,127.15K,11:26:04,
,Energy Select Sector SPDR,XLE,88.60,-1.02%,5.31M,11:26:31,
,ProShares Ultra VIX Short-Term Futures,UVXY,24.09,+2.12%,3.16M,11:26:35,
,VanEck Vectors Junior Gold Miners,GDXJ,41.67,-1.72%,1.00M,11:26:36,
,iShares MSCI EAFE,EFA,78.58,-1.57%,4.11M,11:26:23,
,WisdomTree India Earnings,EPI,47.26,-0.24%,392.54K,11:26:37,
,Alerian MLP,AMLP,46.21,-0.52%,181.77K,11:26:27,
,iShares US Home Construction,ITB,104.13,-0.78%,620.82K,11:26:31,
,SPDR S&P Homebuilders,XHB,104.76,-0.57%,416.35K,11:26:23,
,ProShares UltraPro Short QQQ,SQQQ,8.57,-1.25%,58.23M,11:26:30,
,SPDR S&P Regional Banking,KRE,46.60,-1.82%,5.57M,11:26:28,
,ProShares Ultra Bloomberg Crude Oil,UCO,31.65,+0.89%,602.29K,11:26:19,
