,Pair,Bid,Ask,High,Low,Chg.,Chg. %,Time
,EUR/USD,1.0763,1.0764,1.0817,1.0761,-0.0043,-0.40%,11:24:32
,USD/JPY,156.92,156.94,157.35,156.59,+0.22,+0.14%,11:24:24
,GBP/USD,1.2756,1.2760,1.2807,1.2752,-0.0038,-0.30%,11:24:44
,USD/TRY,32.3133,32.3251,32.4102,32.2250,+0.0128,+0.04%,11:24:28
,USD/CHF,0.8943,0.8944,0.8968,0.8933,+0.0003,+0.03%,11:24:29
,USD/CAD,1.3754,1.3756,1.3764,1.3714,+0.0033,+0.24%,11:24:00
,EUR/JPY,168.89,168.91,170.14,168.86,-0.53,-0.31%,11:23:36
,AUD/USD,0.6639,0.6641,0.6675,0.6633,-0.0023,-0.35%,11:24:10
,NZD/USD,0.6168,0.6172,0.6199,0.6162,-0.0015,-0.24%,11:24:29
,EUR/GBP,0.8437,0.8438,0.8460,0.8434,-0.0009,-0.11%,11:24:23
,EUR/CHF,0.9624,0.9627,0.9685,0.9625,-0.0042,-0.43%,11:24:23
,AUD/JPY,104.17,104.20,104.69,104.11,-0.25,-0.24%,11:24:17
,GBP/JPY,200.22,200.24,201.32,200.11,-0.36,-0.18%,11:24:53
,CHF/JPY,175.44,175.46,175.77,175.05,+0.21,+0.12%,11:23:45
,EUR/CAD,1.4802,1.4804,1.4862,1.4802,-0.0031,-0.21%,11:23:39
,AUD/CAD,0.9131,0.9133,0.9159,0.9124,-0.0014,-0.15%,11:24:32
,CAD/JPY,114.08,114.11,114.55,114.03,-0.11,-0.10%,11:23:42
,NZD/JPY,96.79,96.83,97.22,96.77,-0.10,-0.10%,11:23:35
,AUD/NZD,1.0760,1.0762,1.0783,1.0749,-0.0013,-0.12%,11:23:32
,GBP/AUD,1.9212,1.9215,1.9247,1.9183,+0.0006,+0.03%,11:24:43
,EUR/AUD,1.6209,1.6212,1.6273,1.6200,-0.0010,-0.06%,11:23:08
,GBP/CHF,1.1408,1.1410,1.1463,1.1405,-0.0038,-0.33%,11:24:32
,EUR/NZD,1.7445,1.7448,1.7523,1.7403,-0.0030,-0.17%,11:23:42
,AUD/CHF,0.5936,0.5938,0.5965,0.5933,-0.0023,-0.39%,11:23:41
,GBP/NZD,2.0668,2.0675,2.0728,2.0642,-0.0020,-0.10%,11:22:49
,USD/INR,83.540,83.551,83.614,83.454,+0.057,+0.07%,11:24:17
,USD/CNY,7.2516,7.2520,7.2527,7.2397,+0.0138,+0.19%,11:17:52
,USD/SGD,1.3495,1.3500,1.3501,1.3456,+0.0029,+0.22%,11:23:39
,USD/HKD,7.8102,7.8107,7.8110,7.8072,+0.0010,+0.01%,11:23:35
,USD/DKK,6.9300,6.9340,6.9320,6.8963,+0.0315,+0.46%,11:23:39
,GBP/CAD,1.7542,1.7545,1.7581,1.7540,-0.0019,-0.11%,11:24:28
,USD/SEK,10.4745,10.4775,10.4780,10.3447,+0.1143,+1.10%,11:23:41
,USD/ILS,3.7144,3.7179,3.7204,3.6868,+0.0255,+0.69%,11:24:44
,USD/RUB,87.9210,87.9293,91.7479,85.7496,-1.1774,-1.32%,11:23:40
,USD/MXN,18.5411,18.5516,18.8417,18.5223,-0.1837,-0.98%,11:24:43
,USD/ZAR,18.4482,18.4582,18.4557,18.3180,+0.0792,+0.43%,11:23:45
,CAD/CHF,0.6501,0.6504,0.6524,0.6498,-0.0015,-0.23%,11:23:39
,NZD/CAD,0.8483,0.8487,0.8503,0.8473,-0.0003,-0.04%,11:23:41
,NZD/CHF,0.5516,0.5519,0.5543,0.5514,-0.0014,-0.25%,11:23:38
,BTC/USD,"66,988.0","66,989.0","69,874.0","66,984.0","-2,776.0",-3.98%,11:24:10
,BTC/EUR,"62,222.0","62,222.1","63,342.9","62,008.4","-2,127.9",-3.31%,11:24:41
,ETH/USD,"3,481.00","3,481.01","3,631.38","3,472.60",-152.81,-4.21%,11:23:41
