,Name,Symbol,Last,Chg. %,Total Assets,Time,
,Vanguard Total Stock Market Index Instl Plus,VSMPX,243.84,+0.10%,656.55B,08:00:00,
,Vanguard 500 Index Admiral,VFIAX,502.75,+0.24%,507.74B,08:00:00,
,Fidelity 500 Index Institutional Prem,FXAIX,189.14,+0.23%,540.14B,08:00:00,
,Vanguard Total Stock Market Index Admiral,VTSAX,129.97,+0.09%,371.57B,08:00:00,
,Fidelity Government Money Market Fund,SPAXX,1.000,0%,300.33B,13/06,
,Fidelityֲ® Government Cash Reserves,FDRXX,1.000,0%,218.18B,13/06,
,Vanguard Total International Stock Index Inv,VGTSX,19.53,-0.91%,197.89B,08:00:00,
,Vanguard Institutional Index Instl Pl,VIIIX,448.35,+0.23%,169.02B,08:00:00,
,Fidelity Contrafund,FCNTX,20.11,+0.05%,128.94B,08:00:00,
,Fidelity Contrafund K,FCNKX,20.18,+0.05%,128.94B,08:00:00,
,Vanguard Total Bond Market II Index Fund Investor,VTBIX,9.44,+0.53%,139.73B,08:00:00,
,Vanguard 500 Index Institutional Select,VFFSX,266.51,+0.23%,172.16B,08:00:00,
,Vanguard Total Bond Market II Idx I,VTBNX,9.44,+0.53%,147.63B,08:00:00,
,American Funds Growth Fund of America A,AGTHX,73.15,+0.01%,141.19B,08:00:00,
,Vanguard Institutional Index I,VINIX,448.35,+0.24%,120.29B,08:00:00,
,Vanguard Total Bond Market Index Adm,VBTLX,9.56,+0.53%,97.34B,08:00:00,
,Vanguard Cash Reserves Federal Money Market Fund A,VMRXX,1.000,0%,117.54B,08:00:00,
,American Funds American Balanced A,ABALX,34.52,+0.61%,105.93B,08:00:00,
,Vanguard Wellington Admiral,VWENX,76.98,+0.29%,97.95B,08:00:00,
,VA CollegeAmerica 529 AMCAP 529A,0P0000.,41.510,+0.22%,85.7B,08:00:00,
,American Funds Income Fund of Amer A,AMECX,24.03,+0.04%,74.97B,08:00:00,
,Vanguard Target Retirement 2030 Inv,VTHRX,37.63,0.00%,92.76B,08:00:00,
,Vanguard Target Retirement 2035 Inv,VTTHX,23.64,-0.08%,96.65B,08:00:00,
,Vanguard Target Retirement 2025 Fund Investor Shar,VTTVX,19.340,+0.05%,76.17B,08:00:00,
,American Funds Washington Mutual A,AWSHX,60.21,+0.65%,84.41B,08:00:00,
,Vanguard Total Stock Market Index I,VITSX,130.00,+0.10%,88.43B,08:00:00,
,Dodge & Cox Stock,DODGX,254.39,-0.50%,65.9B,08:00:00,
,PIMCO Income Instl,PIMIX,10.56,+0.28%,90.59B,08:00:00,
,Fidelity Total Market Index Instl Prem,FSKAX,148.58,+0.08%,91.97B,08:00:00,
,Vanguard Interm-Term Tx-Ex Adm,VWIUX,13.59,+0.22%,69.16B,08:00:00,
,American Funds Invmt Co of Amer A,AIVSX,56.77,+0.18%,87.92B,08:00:00,
,Vanguard Target Retirement 2040 Inv,VFORX,42.29,-0.12%,85.79B,08:00:00,
,American Funds Europacific Growth R6,RERGX,57.47,-1.05%,66.9B,08:00:00,
,Schwab S&P 500 Index,SWPPX,83.79,+0.23%,96.19B,08:00:00,
,Vanguard Total Intl Stock Index Admiral,VTIAX,32.66,-0.97%,75.61B,08:00:00,
,Vanguard Target Retirement 2045 Inv,VTIVX,28.88,-0.17%,83.58B,08:00:00,
,American Funds Capital Income Builder A,CAIBX,68.16,+0.18%,61.06B,08:00:00,
