,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,U.S. 1M,5.358,5.335,5.363,5.350,+0.023,+0.44%,07:35:47,
,U.S. 2M,5.370,5.375,5.442,5.367,-0.005,-0.09%,13/06,
,U.S. 3M,5.386,5.389,5.436,5.386,-0.003,-0.05%,07:33:12,
,U.S. 4M,5.388,5.389,5.398,5.388,-0.001,-0.02%,13/06,
,U.S. 6M,5.334,5.342,5.358,5.331,-0.008,-0.15%,07:30:04,
,U.S. 1Y,5.060,5.064,5.120,5.060,-0.004,-0.08%,07:39:36,
,U.S. 2Y,4.685,4.688,4.728,4.668,-0.003,-0.06%,07:39:55,
,U.S. 3Y,4.417,4.426,4.471,4.404,-0.009,-0.21%,07:39:42,
,U.S. 5Y,4.212,4.235,4.279,4.203,-0.023,-0.54%,07:39:54,
,U.S. 7Y,4.196,4.227,4.267,4.192,-0.031,-0.74%,07:40:00,
,U.S. 10Y,4.194,4.240,4.273,4.192,-0.046,-1.09%,07:44:00,
,U.S. 20Y,4.452,4.493,4.524,4.448,-0.041,-0.91%,07:39:59,
,U.S. 30Y,4.343,4.401,4.422,4.340,-0.058,-1.31%,07:39:58,
